Name,Team,Position,Cost,Creativity,Influence,Threat,ICT,Goals_conceded,Goals_scored,Assists,Own_goals,Penalties_missed,Penalties_saved,Saves,Yellow_cards,Red_cards,TSB,Minutes,Bonus,Points
Brooks,BOU,MID,50,2.8,3.4,19,2.5,0,0,0,0,0,0,0,0,0,0.1,66,0,3
Bruno,BHA,DEF,45,14.6,6.4,0,2.1,0,0,0,0,0,0,0,0,0,0.3,25,0,1
Bryan,FUL,DEF,50,23.4,22,2,4.7,1,0,0,0,0,0,0,0,0,0.2,70,0,2
Button,BHA,GKP,40,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0,0,0
Byram,WHU,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Caballero,CHE,GKP,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0
Cahill,CHE,DEF,55,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0,0,0
Cairney,FUL,MID,50,20.3,16.8,8,4.5,2,0,0,0,0,0,0,0,0,3.1,90,0,2
Calvert-Lewin,EVE,FWD,55,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0,0,0
Camarasa,CAR,MID,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Capoue,WAT,MID,50,2.9,9.8,9,2.2,0,0,0,0,0,0,0,1,0,0.3,90,0,2
Carlos Sanchez,WHU,MID,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0
Carrillo,SOU,FWD,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carroll,WHU,FWD,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cathcart,WAT,DEF,45,0.6,10.4,6,1.7,0,0,0,0,0,0,0,0,0,0.1,90,0,6
Cavaleiro,WOL,MID,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Cech,ARS,GKP,50,0,47,0,4.7,2,0,0,0,0,0,6,0,0,1.7,90,0,3
Chalobah,WAT,MID,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0
Chamberlain,LIV,MID,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chambers,FUL,DEF,45,0.6,30.4,0,3.1,2,0,0,0,0,0,0,0,0,2,90,0,1
Chicharito,WHU,FWD,65,0,0,0,0,1,0,0,0,0,0,0,0,0,2.6,28,0,1
Chilwell,LEI,DEF,50,40.3,13.4,2,5.6,2,0,0,0,0,0,0,0,0,0.5,90,0,1
Choudhury,LEI,MID,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Christensen,CHE,DEF,55,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0
Christie,FUL,DEF,45,19.3,17.8,9,4.6,2,0,0,0,0,0,0,0,0,0.3,90,0,1
Cisse,FUL,MID,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clark,NEW,DEF,45,0.7,18.4,26,4.5,2,0,0,0,0,0,0,0,0,0.3,90,0,1
Cleverley,WAT,MID,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clyne,LIV,DEF,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0
Coady,WOL,DEF,45,0.5,14.6,0,1.5,2,0,0,0,0,0,0,0,0,0.7,90,0,1
Coleman,EVE,DEF,55,1.8,26.4,21,4.9,2,0,0,0,0,0,0,0,0,3.1,90,0,1
Connolly,CAR,DEF,40,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0
Cork,BUR,MID,50,33.8,10.2,2,4.6,0,0,0,0,0,0,0,1,0,1.2,90,0,2
Costa,WOL,MID,50,3.8,2.2,8,1.4,2,0,0,0,0,0,0,0,0,0.8,70,0,2
Courtois,CHE,GKP,55,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0
Cresswell,WHU,DEF,55,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,0,0,0
Cunningham,CAR,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Cedric,SOU,DEF,45,1.3,4.2,2,0.8,0,0,0,0,0,0,0,0,0,7.9,55,0,1
Dahlberg,WAT,GKP,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Dalot,MUN,DEF,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Damour,CAR,MID,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Daniels,BOU,DEF,45,17,13.4,2,3.2,0,0,0,0,0,0,0,1,0,17.6,90,0,5
Danilo,MCI,DEF,55,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0,0
Dann,CRY,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Darlow,NEW,GKP,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Darmian,MUN,DEF,50,2.3,20.6,7,3,1,0,0,0,0,0,0,0,0,0.5,90,0,2
David Luiz,CHE,DEF,55,2,20.2,0,2.2,0,0,0,0,0,0,0,1,0,4,90,0,5
David Silva,MCI,MID,85,0,0,0,0,0,0,0,0,0,0,0,0,0,4.7,0,0,0
Davies,EVE,MID,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0
Davies,TOT,DEF,60,28.4,20.6,20,6.9,1,0,0,0,0,0,0,0,0,8.8,90,0,2
Davis,SOU,MID,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0
De Bruyne,MCI,MID,100,14.8,4.4,7,2.6,0,0,0,0,0,0,0,1,0,27.9,30,0,0
De Gea,MUN,GKP,60,0,21.2,0,2.1,1,0,0,0,0,0,3,0,0,30.2,90,0,3
Deeney,WAT,FWD,60,6.3,5,20,3.1,0,0,0,0,0,0,0,0,0,1.1,90,0,2
Defoe,BOU,FWD,60,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
Defour,BUR,MID,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delph,MCI,DEF,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0
Dembele,TOT,MID,50,0.5,3,1,0.5,0,0,0,0,0,0,0,0,0,1.6,22,0,1
Dendoncker,WOL,MID,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0
Depoitre,HUD,FWD,55,10.8,0,8,1.8,1,0,0,0,0,0,0,0,0,1.3,45,0,1
Deulofeu,WAT,MID,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0
Diabate,LEI,MID,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Diakhaby,HUD,MID,50,0.3,4.2,0,0.5,1,0,0,0,0,0,0,0,0,0.1,19,0,1
Diame,NEW,MID,50,12.5,11.4,8,3.2,2,0,0,0,0,0,0,1,0,0.1,90,0,1
Diaz,MCI,MID,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Dier,TOT,MID,50,5.4,22.2,0,2.8,1,0,0,0,0,0,0,1,0,2.2,87,0,1
Digne,EVE,DEF,50,0.3,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,1
Diop,WHU,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Doherty,WOL,DEF,45,26.3,19.8,0,4.6,2,0,0,0,0,0,0,0,0,1.2,90,0,1
Doucoure,WAT,MID,60,25.8,11.6,2,3.9,0,0,0,0,0,0,0,0,0,2.2,90,0,3
Douglas,WOL,DEF,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Drinkwater,CHE,MID,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0
Dubravka,NEW,GKP,50,0,33,0,3.3,2,0,0,0,0,0,3,0,0,0.4,90,0,2
Duffy,BHA,DEF,45,0,27,0,2.7,2,0,0,0,0,0,0,0,0,3.1,90,0,1
Dummett,NEW,DEF,45,1.4,10,1,1.2,2,0,0,0,0,0,0,0,0,0.2,90,0,1
Dunk,BHA,DEF,45,0.3,15,0,1.5,2,0,0,0,0,0,0,0,0,3.2,90,0,1
Durm,HUD,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0
Ecuele Manga,CAR,DEF,45,0.2,15.4,0,1.6,2,0,0,0,0,0,0,0,0,0.1,90,0,1
Ederson,MCI,GKP,55,0,21.4,0,2.1,0,0,0,0,0,0,3,0,0,17.7,90,1,8
Elliot,NEW,GKP,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0
Elneny,ARS,MID,45,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,0,0,0
Elyounoussi,SOU,MID,65,58.3,12,26,9.6,0,0,0,0,0,0,0,0,0,0.5,34,0,1
Emerson,CHE,DEF,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0
Enobakhare,WOL,MID,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0
Eriksen,TOT,MID,95,72.3,19.2,12,10.4,1,0,0,0,0,0,0,0,0,17.4,90,0,2
Etheridge,CAR,GKP,45,0,37.8,0,3.8,2,0,0,0,0,1,2,0,0,0.3,90,0,6
Evans,LEI,DEF,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0
Fabianski,WHU,GKP,45,0,30.4,0,3,4,0,0,0,0,0,4,0,0,19,90,0,1
Fabinho,LIV,MID,60,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Fabri,FUL,GKP,45,0,49.8,0,5,2,0,0,0,0,0,7,0,0,0.3,90,0,3
Felipe Anderson,WHU,MID,70,26.8,15.2,2,4.4,3,0,0,0,0,0,0,0,0,3.8,61,0,2
Fellaini,MUN,MID,50,0,7,0,0.7,1,0,0,0,0,0,0,0,0,0.7,6,0,1
Fernandes,WHU,MID,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0
Fernandinho,MCI,MID,55,11.8,7.6,0,1.9,0,0,0,0,0,0,0,0,0,6.9,90,0,3
Fernandez,NEW,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0
Firmino,LIV,FWD,95,29.5,22.6,15,6.7,0,0,1,0,0,0,0,0,0,36.5,68,0,5
Foden,MCI,MID,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0
Fonte,FUL,MID,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0
Forster,SOU,GKP,45,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0,0,0
Foster,WAT,GKP,45,10,7.4,0,1.7,0,0,0,0,0,0,0,0,0,5,90,0,6
Fosu-Mensah,FUL,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0
Francis,BOU,DEF,45,10.8,22.2,4,3.7,0,0,1,0,0,0,0,0,0,0.5,23,0,4
Fraser,BOU,MID,55,43.3,42.8,25,11.1,0,1,0,0,0,0,0,0,0,1.7,90,3,11
Fred,MUN,MID,60,5.1,4.6,0,1,0,0,0,0,0,0,0,1,0,4.9,75,0,2
Fredericks,WHU,DEF,50,1.3,6.2,0,0.8,4,0,0,0,0,0,0,0,0,0.7,90,0,0
Fuchs,LEI,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Fabregas,CHE,MID,65,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0
Gabbiadini,SOU,FWD,60,3.2,0,2,0.5,0,0,0,0,0,0,0,0,0,0.4,18,0,1
Gayle,NEW,FWD,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0
Ghezzal,LEI,MID,55,2.3,1.6,4,0.8,1,0,0,0,0,0,0,0,0,0.2,27,0,1
Gibbs-White,WOL,MID,45,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.4,5,0,1
Gibson,BUR,DEF,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0
Giroud,CHE,FWD,80,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
Gomes,WAT,GKP,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0
Gomez,LIV,DEF,50,0.5,20,4,2.5,0,0,0,0,0,0,0,0,0,0.3,90,0,6
Gosling,BOU,MID,50,10.4,23.2,1,3.5,0,0,0,0,0,0,0,0,0,0.1,90,0,3
Grant,MUN,GKP,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gray,WAT,FWD,60,25.2,7,27,5.9,0,0,0,0,0,0,0,0,0,0.7,73,0,2
Gray,LEI,MID,55,8.2,14.4,38,6.1,2,0,0,0,0,0,0,0,0,1.1,90,0,2
Gross,BHA,MID,70,20.3,8.6,4,3.3,2,0,0,0,0,0,0,0,0,7.1,59,0,1
Guaita,CRY,GKP,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0
Gudmundsson,BUR,MID,60,31.1,7,41,7.9,0,0,0,0,0,0,0,0,0,2,86,0,3
Guendouzi,ARS,MID,45,3,11.4,1,1.5,2,0,0,0,0,0,0,0,0,1.3,90,0,2
Gueye,EVE,MID,50,3.5,13.6,0,1.7,2,0,0,0,0,0,0,0,0,0.6,90,0,2
Gunn,SOU,GKP,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0
Gunnarsson,CAR,MID,45,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0
Gundogan,MCI,MID,55,6.7,3.6,11,2.1,0,0,0,0,0,0,0,0,0,1.5,90,0,3
Hadergjonaj,HUD,DEF,45,19,11.4,0,3,3,0,0,0,0,0,0,0,0,0.1,90,0,1
Halford,CAR,DEF,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hamer,HUD,GKP,40,0,13.2,0,1.3,3,0,0,0,0,0,1,0,0,3.2,90,0,1
Hart,BUR,GKP,45,0,27,0,2.7,0,0,0,0,0,0,3,0,0,4.7,90,0,7
Hause,WOL,DEF,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hayden,NEW,MID,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0
Hazard,CHE,MID,105,13.8,23.8,10,4.8,0,0,1,0,0,0,0,0,0,11,14,0,4
Heaton,BUR,GKP,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Hemed,BHA,FWD,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0
Henderson,LIV,MID,55,0.8,2,0,0.3,0,0,0,0,0,0,0,0,0,1.4,21,0,1
Hendrick,BUR,MID,55,6.5,5.4,33,4.5,0,0,0,0,0,0,0,0,0,0.2,75,0,3
Hennessey,CRY,GKP,45,0,42.6,0,4.3,0,0,0,0,0,0,6,0,0,1.7,90,1,9
Herrera,MUN,MID,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0
Hoedt,SOU,DEF,45,1.1,8.6,1,1.1,0,0,0,0,0,0,0,0,0,0.4,90,0,6
Hogg,HUD,MID,45,3.5,8.4,0,1.2,3,0,0,0,0,0,0,0,0,0.3,90,0,2
Hoilett,CAR,MID,55,25.4,11.8,8,4.5,2,0,0,0,0,0,0,0,0,0.4,90,0,2
Holding,ARS,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0
Holebas,WAT,DEF,45,72.5,44.8,8,12.5,0,0,2,0,0,0,0,1,0,2.5,90,2,13
Holgate,EVE,DEF,45,0.1,13.6,0,1.4,2,0,0,0,0,0,0,0,0,0.1,47,0,0
Hudson-Odoi,CHE,MID,45,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0,0,0
Hughes,WAT,MID,50,3.8,10.2,18,3.2,0,0,0,0,0,0,0,0,0,0.5,80,0,3
Hugill,WHU,FWD,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hyndman,BOU,MID,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Hojbjerg,SOU,MID,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0
Ibe,BOU,MID,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0
Iborra,LEI,MID,50,1.5,3.4,0,0.5,1,0,0,0,0,0,0,0,0,0.1,10,0,1
Iheanacho,LEI,FWD,60,4.9,1.4,28,3.4,2,0,0,0,0,0,0,0,0,1.2,90,0,2
Ince,HUD,MID,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ings,SOU,FWD,55,41.8,6,16,6.4,0,0,0,0,0,0,0,0,0,1.9,34,0,1
Iwobi,ARS,MID,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0
Izquierdo,BHA,MID,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0
Jach,CRY,DEF,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Jagielka,EVE,DEF,45,0,0,0,0,2,0,0,0,0,0,0,0,1,1.8,39,0,-3
Jahanbakhsh,BHA,MID,70,14.1,2.4,0,1.7,0,0,0,0,0,0,0,0,0,1.6,19,0,1
Jakupovic,LEI,GKP,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
James,LEI,MID,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Janmaat,WAT,DEF,50,6.3,15.2,21,4.3,0,0,0,0,0,0,0,0,0,0.6,90,1,7
Jazz Richards,CAR,DEF,40,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Jesus,MCI,FWD,105,0.7,0.2,0,0.1,0,0,0,0,0,0,0,0,0,2.7,11,0,1
Jimenez,WOL,FWD,55,15.5,44.8,60,12,2,1,0,0,0,0,0,0,0,3.6,90,0,6
Johansen,FUL,MID,55,4.4,6.8,0,1.1,0,0,0,0,0,0,0,0,0,0.2,8,0,1
Jones,MUN,DEF,55,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Jonny,WOL,DEF,45,6.8,0.8,3,1.1,2,0,0,0,0,0,0,0,0,0.6,75,0,1
Jordan Ayew,CRY,FWD,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0
Jorginho,CHE,MID,50,9.3,52.6,17,7.9,0,1,0,0,0,0,0,0,0,10.3,90,1,9
Joselu,NEW,FWD,50,15.8,38.6,68,12.2,2,1,0,0,0,0,0,1,0,2.6,58,1,5
Jota,WOL,MID,65,9.8,4.2,5,1.9,2,0,1,0,0,0,0,0,0,6.4,90,0,5
Kabasele,WAT,DEF,45,0.2,8,22,3,0,0,0,0,0,0,0,0,0,0.7,90,0,6
Kaboul,WAT,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0
Kachunga,HUD,FWD,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Kaikai,CRY,MID,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0
Kamara,FUL,FWD,45,25.6,6.2,22,5.4,1,0,0,0,0,0,0,0,0,10.9,29,0,1
Kane,TOT,FWD,125,24.3,6.6,26,5.7,1,0,0,0,0,0,0,1,0,31.2,90,0,1
Kante,CHE,MID,50,11.2,42.4,17,7.1,0,1,0,0,0,0,0,0,0,20.9,90,0,8
Karius,LIV,GKP,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0
Kayal,BHA,MID,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Keane,EVE,DEF,50,10.2,40.4,25,7.6,2,0,1,0,0,0,0,0,0,2.7,90,1,5
Kebano,FUL,MID,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Keita,LIV,MID,75,17.6,10,10,3.8,0,0,0,0,0,0,0,0,0,5.2,90,0,3
Kelly,CRY,DEF,40,0,0,0,0,0,0,0,0,0,0,0,0,0,8.3,0,0,0
Kenedy,NEW,MID,50,1.5,10.4,5,1.7,2,0,0,0,0,0,0,0,0,2.5,90,0,2
Kenny,EVE,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0
Kepa,CHE,GKP,55,0,9.2,0,0.9,0,0,0,0,0,0,1,0,0,3.4,90,0,6
Ki Sung-yueng,NEW,MID,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0
